# mpl-nrb : v.20150816.1315/Linux - MPL4/SCO: dowloaded from MPLNET
Date Time aod
2020-05-22 12:33:30 0.09088739	
2020-05-22 12:34:29 nan	
2020-05-22 12:35:30 0.074443996	
2020-05-22 12:36:29 nan	
2020-05-22 12:37:30 nan	
2020-05-22 12:38:29 0.07224345	
2020-05-22 12:39:30 nan	
2020-05-22 12:40:30 nan	
2020-05-22 12:41:29 0.07455656	
2020-05-22 12:42:30 nan	
2020-05-22 12:43:29 nan	
2020-05-22 12:44:30 0.07338812	
2020-05-22 12:45:29 nan	
2020-05-22 12:46:30 nan	
2020-05-22 12:47:29 0.073639445	
2020-05-22 12:48:30 nan	
2020-05-22 12:49:30 nan	
2020-05-22 12:50:29 0.072780654	
2020-05-22 12:51:30 nan	
2020-05-22 12:52:29 nan	
2020-05-22 12:53:30 0.07253438	
2020-05-22 12:54:29 nan	
2020-05-22 12:55:30 nan	
2020-05-22 12:56:29 0.07486755	
2020-05-22 12:57:30 nan	
2020-05-22 12:58:30 nan	
2020-05-22 12:59:29 0.07306827	
2020-05-22 13:00:30 nan	
2020-05-22 13:01:29 nan	
2020-05-22 13:02:30 0.074220516	
2020-05-22 13:03:29 nan	
2020-05-22 13:04:30 nan	
2020-05-22 13:05:29 nan	
2020-05-22 13:06:30 nan	
2020-05-22 13:07:30 nan	
2020-05-22 13:08:29 nan	
2020-05-22 13:09:30 nan	
2020-05-22 13:10:29 nan	
2020-05-22 13:11:30 nan	
2020-05-22 13:12:29 nan	
2020-05-22 13:13:30 nan	
2020-05-22 13:14:29 0.071420506	
2020-05-22 13:15:30 nan	
2020-05-22 13:16:30 nan	
2020-05-22 13:17:29 nan	
2020-05-22 13:18:30 nan	
2020-05-22 13:19:29 nan	
2020-05-22 13:20:30 nan	
2020-05-22 13:21:29 0.071692824	
2020-05-22 13:22:30 nan	
2020-05-22 13:23:29 nan	
2020-05-22 13:24:30 nan	
2020-05-22 13:25:30 nan	
2020-05-22 13:26:29 0.07371375	
2020-05-22 13:27:30 nan	
2020-05-22 13:28:29 nan	
2020-05-22 13:29:30 0.07334488	
2020-05-22 13:30:29 nan	
2020-05-22 13:31:30 nan	
2020-05-22 13:32:29 0.07275488	
2020-05-22 13:33:30 nan	
2020-05-22 13:34:30 nan	
2020-05-22 13:35:29 0.07271986	
2020-05-22 13:36:30 nan	
2020-05-22 13:37:29 nan	
2020-05-22 13:38:30 0.07249023	
2020-05-22 13:39:29 nan	
2020-05-22 13:40:30 nan	
2020-05-22 13:41:29 0.07271143	
2020-05-22 13:42:30 0.057492997	
2020-05-22 13:43:30 0.06578556	
2020-05-22 13:44:29 0.07198299	
2020-05-22 13:45:30 0.07417779	
